step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
271,1,0.471486,0.000000,0.663439,4.91e-05,0.1729,0.04,
272,1,0.462470,0.000000,0.684349,4.87e-05,0.1302,0.04,
273,1,0.466450,0.000000,0.686026,4.83e-05,0.1880,0.04,
274,1,0.455789,0.000000,0.688954,4.80e-05,0.1520,0.04,
275,1,0.464508,0.000000,0.711750,4.76e-05,0.1635,0.04,
276,1,0.466941,0.000000,0.679120,4.72e-05,0.2848,0.04,
277,1,0.455763,0.000000,0.651154,4.69e-05,0.1845,0.04,
278,1,0.451796,0.000000,0.669614,4.65e-05,0.1812,0.04,
279,1,0.462411,0.000000,0.661734,4.61e-05,0.1118,0.04,
280,1,0.456386,0.000000,0.631965,4.58e-05,0.1305,0.04,
281,1,0.447457,0.000000,0.677465,4.54e-05,0.2743,0.04,
282,1,0.451846,0.000000,0.679431,4.50e-05,0.1758,0.04,
283,1,0.454143,0.000000,0.680930,4.47e-05,0.1186,0.04,
284,1,0.459640,0.000000,0.676378,4.43e-05,0.1072,0.04,
285,1,0.449082,0.000000,0.661158,4.39e-05,0.1241,0.04,
286,1,0.461893,0.000000,0.674649,4.36e-05,0.1086,0.04,
287,1,0.460895,0.000000,0.663175,4.32e-05,0.1462,0.04,
288,1,0.460071,0.000000,0.672526,4.28e-05,0.1459,0.04,
289,1,0.451946,0.000000,0.659876,4.25e-05,0.1290,0.04,
290,1,0.460101,0.000000,0.673076,4.21e-05,0.1414,0.04,
291,1,0.466181,0.000000,0.666494,4.17e-05,0.1113,0.04,
292,1,0.461245,0.000000,0.702057,4.14e-05,0.1264,0.04,
293,1,0.454222,0.000000,0.657520,4.10e-05,0.1002,0.04,
294,1,0.454081,0.000000,0.757394,4.06e-05,0.1500,0.04,
295,1,0.454024,0.000000,0.724122,4.03e-05,0.1234,0.04,
296,1,0.451910,0.000000,0.670551,3.99e-05,0.1049,0.04,
297,1,0.448928,0.000000,0.630783,3.95e-05,0.2350,0.04,
298,1,0.442879,0.000000,0.623203,3.92e-05,0.1763,0.04,
299,1,0.460266,0.000000,0.665068,3.88e-05,0.2387,0.04,
300,1,0.467940,0.000000,0.656197,3.85e-05,0.1168,0.04,
301,1,0.457801,0.000000,0.616407,3.81e-05,0.1346,0.04,
302,1,0.455015,0.000000,0.687732,3.77e-05,0.1448,0.04,
303,1,0.458232,0.000000,0.650061,3.74e-05,0.1614,0.04,
304,1,0.460150,0.000000,0.712853,3.70e-05,0.2836,0.04,
305,1,0.457816,0.000000,0.666371,3.67e-05,0.2205,0.04,
306,1,0.458985,0.000000,0.696879,3.63e-05,0.1724,0.04,
307,1,0.460017,0.000000,0.626245,3.60e-05,0.1300,0.04,
308,1,0.457941,0.000000,0.635043,3.56e-05,0.1260,0.04,
309,1,0.462662,0.000000,0.703861,3.53e-05,0.1300,0.04,
310,1,0.463827,0.000000,0.703669,3.49e-05,0.1781,0.04,
311,1,0.450649,0.000000,0.657424,3.45e-05,0.1563,0.04,
312,1,0.456392,0.000000,0.649079,3.42e-05,0.1084,0.04,
313,1,0.451832,0.000000,0.651264,3.38e-05,0.1291,0.04,
314,1,0.455360,0.000000,0.652037,3.35e-05,0.1254,0.04,
315,1,0.461109,0.000000,0.694437,3.32e-05,0.0991,0.04,
316,1,0.457521,0.000000,0.645882,3.28e-05,0.1706,0.04,
317,1,0.464152,0.000000,0.667560,3.25e-05,0.2093,0.04,
318,1,0.450368,0.000000,0.649343,3.21e-05,0.1577,0.04,
319,1,0.453800,0.000000,0.611355,3.18e-05,0.1242,0.03,
320,1,0.450643,0.000000,0.584832,3.14e-05,0.1114,0.04,
321,1,0.452680,0.000000,0.646240,3.11e-05,0.1308,0.04,
322,1,0.452951,0.000000,0.632384,3.07e-05,0.1424,0.04,
323,1,0.458359,0.000000,0.641919,3.04e-05,0.1268,0.04,
324,1,0.467088,0.000000,0.681337,3.01e-05,0.1927,0.04,
325,1,0.457864,0.000000,0.645256,2.97e-05,0.1854,0.04,
326,1,0.469481,0.000000,0.647840,2.94e-05,0.1017,0.04,
327,1,0.462896,0.000000,0.647153,2.90e-05,0.1185,0.04,
328,1,0.455129,0.000000,0.632572,2.87e-05,0.1284,0.04,
329,1,0.456369,0.000000,0.642116,2.84e-05,0.1424,0.04,
330,1,0.465959,0.000000,0.652647,2.80e-05,0.1708,0.04,
